ID,Source,Severity,Distance(mi),Description,Side,County,Airport_Code,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Duration,monthidx,SHour
A-1471,MapQuest,3,0.0,Accident on I-280 Southbound at Exit 51 Ocean Ave.,R,San Francisco,KSFO,62.1,62.0,29.95,10.0,WNW,21.9,Clear,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,19
A-1511,MapQuest,2,0.0,Accident on California St at Divisadero St.,L,San Francisco,KSFO,55.0,80.0,30.02,10.0,WNW,19.6,Partly Cloudy,True,True,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,30,3,08
A-1525,MapQuest,2,0.0,Accident on US-101 Northbound at I-80.,R,San Francisco,KSFO,62.1,62.0,30.01,10.0,WNW,23.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,11
A-1613,MapQuest,3,0.0,Lane blocked due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,55.9,84.0,29.95,9.0,WNW,6.9,Overcast,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night,60,3,03
A-1634,MapQuest,3,0.0,Accident on I-280 Southbound at Alemany Blvd.,R,San Francisco,KSFO,57.9,72.0,30.01,10.0,WNW,15.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,09
A-1676,MapQuest,3,0.0,Slow lane blocked due to accident on I-80 Eastbound at Harrison St.,R,San Francisco,KOAK,63.0,63.0,30.0,10.0,West,12.7,Scattered Clouds,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,45,3,14
A-1773,MapQuest,2,0.0,Middle lane blocked due to accident on US-101 Southbound at Exits 429B 429C Bay Shore Blvd.,R,San Francisco,KSFO,68.0,55.0,29.88,10.0,WNW,15.0,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,12
A-1794,MapQuest,3,0.0,Accident on I-80 Eastbound at Exits 1 1C Bryant St.,R,San Francisco,KSFO,73.0,46.0,29.85,10.0,WNW,15.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,14
A-1860,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exits 1 1C Bryant St.,R,San Francisco,KSFO,54.0,83.0,29.83,10.0,WNW,6.9,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,75,4,05
A-1924,MapQuest,2,0.0,One lane blocked due to accident on US-101 Van Ness Ave Northbound at Duboce Ave.,R,San Francisco,KSFO,64.0,67.0,29.96,10.0,North,8.1,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,380,4,09
A-1935,MapQuest,2,0.0,Accident on Valencia St Northbound at Duncan St.,R,San Francisco,KSFO,72.0,51.0,29.94,10.0,North,8.1,Partly Cloudy,True,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,90,4,16
A-1952,MapQuest,3,0.0,One lane blocked due to accident on I-280 Southbound at Exit 53 Alemany Blvd.,R,San Francisco,KSFO,57.0,81.0,29.99,10.0,West,5.8,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,30,4,01
A-1977,MapQuest,2,0.0,Slow traffic and right hand shoulder blocked due to accident on US-101 Golden Gate Brg Northbound at Exit 439 Transit Transfer Facility.,R,San Francisco,KSFO,66.0,68.0,30.04,10.0,NNE,12.7,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,45,4,12
A-1978,MapQuest,3,0.0,Left hand shoulder blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,R,San Francisco,KSFO,66.0,68.0,30.04,10.0,NNE,12.7,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,45,4,12
A-2000,MapQuest,3,0.0,Accident on I-280 Southbound at Exit 55 Pennsylvania Ave.,R,San Francisco,KOAK,66.9,61.0,30.0,10.0,NW,15.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,90,4,16
A-2032,MapQuest,2,0.0,Accident on US-101 Southbound at Silver Ave.,R,San Francisco,KSFO,55.0,83.0,30.01,10.0,West,4.6,Scattered Clouds,False,False,False,True,False,False,False,False,False,False,False,Night,Day,Day,Day,75,4,05
A-2035,MapQuest,2,0.0,Accident on US-101 Van Ness Ave Northbound at Exits 434A 434B 13th St.,R,San Francisco,KSFO,57.0,77.0,30.02,10.0,South,3.5,Scattered Clouds,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,30,4,07
A-2036,MapQuest,2,0.0,Accident on US-101 Southbound at Exits 429B 429C Bay Shore Blvd.,R,San Francisco,KSFO,57.0,77.0,30.02,10.0,South,3.5,Scattered Clouds,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,07
A-2054,MapQuest,2,0.0,Accident on US-101 Southbound at I-80 Exits 1A 1B.,R,San Francisco,KSFO,68.0,63.0,30.04,10.0,NNE,9.2,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-2110,MapQuest,3,0.0,Lane blocked due to accident on I-280 Northbound at Exit 50 Alemany Blvd.,R,San Francisco,KSFO,55.9,84.0,30.0,10.0,West,5.8,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,4,01
A-2111,MapQuest,3,0.0,Lane blocked and right hand shoulder blocked due to accident on I-280 Northbound at Exits 54 54A 54B US-101.,R,San Francisco,KSFO,57.0,81.0,30.0,10.0,WNW,9.2,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,4,01
A-2113,MapQuest,2,0.0,Right hand shoulder blocked due to accident on US-101 Southbound at Exits 433 433B 433C San Francisco-Oakland Bay Bridge.,R,San Francisco,KSFO,55.9,84.0,30.0,10.0,West,5.8,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,4,01
A-2144,MapQuest,2,0.0,Delays due to accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,R,San Francisco,KSFO,64.0,65.0,30.01,10.0,NNW,10.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,45,4,10
A-2238,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-280 Southbound at Exit 55 Cesar Chavez.,R,San Francisco,KOAK,57.9,75.0,30.02,10.0,WSW,12.7,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,30,4,09
A-2277,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exits 2 2A Harrison St.,R,San Francisco,KOAK,64.9,61.0,30.02,10.0,West,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,14
A-2292,MapQuest,3,0.0,Accident on I-80 Westbound at Exit 4A Treasure Is.,R,San Francisco,KOAK,61.0,70.0,30.0,10.0,West,17.3,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,18
A-2304,MapQuest,3,0.0,Accident on I-80 Westbound at Exits 1 1C Bryant St.,R,San Francisco,KSFO,59.0,72.0,29.98,10.0,West,13.8,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,20
A-2369,MapQuest,2,0.0,Delays due to accident on US-101 Southbound at Exits 429B 429C Bay Shore Blvd.,R,San Francisco,KSFO,60.1,72.0,30.03,10.0,West,16.1,Overcast,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,45,4,10
A-2655,MapQuest,2,0.0,Right hand shoulder blocked due to accident on US-101 Southbound at I-80.,R,San Francisco,KSFO,60.1,72.0,30.09,10.0,West,17.3,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,353,4,07
A-2672,MapQuest,2,0.0,Lane blocked due to accident on US-101 Lombard St Southbound at US-101 Lombard St.,R,San Francisco,KOAK,62.1,75.0,29.97,10.0,East,3.5,Clear,True,True,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,60,4,02
A-2762,MapQuest,2,0.0,Delays due to accident on 3rd St near Custer Ave.,R,San Francisco,KSFO,60.1,69.0,30.0,10.0,West,6.9,Partly Cloudy,False,True,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,45,4,08
A-2797,MapQuest,3,0.0,#2 lane blocked due to accident on I-280 Northbound at Exit 53 Alemany Blvd.,R,San Francisco,KSFO,64.9,61.0,30.01,10.0,West,17.3,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,11
A-2865,MapQuest,3,0.0,Accident on I-280 Eastbound at Exits 54 54A 54B US-101.,R,San Francisco,KSFO,60.1,72.0,29.96,10.0,West,15.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,30,4,20
A-2880,MapQuest,2,0.0,Accident on Guerrero St both ways at 16th St.,R,San Francisco,KSFO,55.0,86.0,29.97,10.0,WNW,5.8,Partly Cloudy,True,True,False,False,False,False,True,False,False,True,False,Night,Night,Night,Day,60,4,04
A-2900,MapQuest,2,0.0,Accident on Harrison St at I-80.,R,San Francisco,KOAK,64.9,68.0,30.01,10.0,West,6.9,Clear,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,30,4,10
A-2913,MapQuest,2,0.0,#1 and #2 lane blocked due to accident on US-101 Southbound at Exit 432 Cesar Chavez.,R,San Francisco,KOAK,72.0,51.0,30.01,10.0,West,5.8,Clear,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,11
A-3015,MapQuest,3,0.0,Accident on I-280 Northbound after Exit 52 San Jose Ave.,R,San Francisco,KSFO,66.9,59.0,30.0,10.0,WNW,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-3109,MapQuest,2,0.0,Left lane blocked due to accident on US-101 Golden Gate Brg Southbound after Exit 439 Transit Transfer Facility.,R,San Francisco,KSFO,54.0,90.0,29.96,10.0,WNW,8.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,4,01
A-3119,MapQuest,3,0.0,Lane blocked due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,59.0,83.0,29.93,10.0,NNW,9.2,Overcast,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Day,60,4,04
A-3160,MapQuest,2,0.0,Accident on US-101 Southbound at Exit 432 Cesar Chavez.,R,San Francisco,KOAK,69.1,57.0,29.95,10.0,WNW,9.2,Scattered Clouds,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,45,4,11
A-3166,MapQuest,3,0.0,Accident on I-280 Northbound at Exit 55 Cesar Chavez.,R,San Francisco,KSFO,66.0,68.0,29.95,10.0,NNE,10.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-3167,MapQuest,3,0.0,Delays due to accident on I-280 Northbound before Exit 55 Pennsylvania Ave.,R,San Francisco,KOAK,69.1,57.0,29.95,10.0,WNW,9.2,Scattered Clouds,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-3320,MapQuest,2,0.0,Accident on US-101 Northbound at Exits 430A 430B 431 I-280.,R,San Francisco,KSFO,71.1,53.0,29.85,10.0,NW,16.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,60,4,16
A-3449,MapQuest,3,0.0,Accident on I-280 Southbound at Exit 51 Ocean Ave.,R,San Francisco,KSFO,57.0,83.0,30.09,10.0,West,9.2,Overcast,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night,60,4,00
A-3542,MapQuest,2,0.0,Three lanes blocked due to accident on US-101 Golden Gate Bridge Southbound from Exit 442 to Exit 439.,R,San Francisco,KSFO,59.0,78.0,30.09,10.0,West,13.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,60,4,08
A-3555,MapQuest,3,0.0,Slow traffic due to accident on I-280 Southbound at Exit 50 Alemany Blvd.,R,San Francisco,KSFO,66.0,60.0,30.06,10.0,NW,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,47,4,13
A-3591,MapQuest,3,0.0,Right hand shoulder blocked due to accident on Harrison St Eastbound around I-80.,R,San Francisco,KOAK,60.1,78.0,30.03,10.0,West,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,75,4,20
A-3614,MapQuest,3,0.0,Queueing traffic and right hand shoulder blocked due to accident now on the shoulder on US-101 Northbound at Exit 433A Vermont St.,R,San Francisco,KOAK,57.9,81.0,30.06,10.0,WSW,10.4,Overcast,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night,30,4,00
A-3637,MapQuest,2,0.0,Accident on US-101 Southbound near Vermont St.,R,San Francisco,KSFO,64.0,65.0,30.12,10.0,West,18.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,10
A-3669,MapQuest,3,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Silver Ave.,R,San Francisco,KSFO,69.1,54.0,30.11,10.0,West,20.7,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,13
A-3694,MapQuest,2,0.0,Accident and flooded road on Van Ness Ave at 18th St.,R,San Francisco,KSFO,66.9,61.0,30.1,10.0,West,26.5,Partly Cloudy,True,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,75,4,16
A-3787,MapQuest,2,0.0,Gore point obstructed due to accident on US-101 Northbound at I-280.,R,San Francisco,KSFO,64.9,63.0,30.13,10.0,WNW,15.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,11
A-3814,MapQuest,2,0.0,Slow traffic due to accident on US-101 Southbound before Exits 429B 429C Bay Shore Blvd.,R,San Francisco,KSFO,69.1,54.0,30.12,10.0,WNW,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-3875,MapQuest,3,0.0,Accident on I-280 Southbound at Exits 54 54A 54B US-101.,R,San Francisco,KSFO,62.1,70.0,30.03,10.0,WNW,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,20
A-3984,MapQuest,2,0.0,Accident on Taraval St Westbound at 18th Ave.,R,San Francisco,KSFO,57.9,78.0,29.88,10.0,WNW,17.3,Partly Cloudy,True,True,False,False,False,True,False,False,False,False,False,Night,Night,Night,Day,30,4,21
A-4018,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-280 Northbound at Geneva Ave.,R,San Francisco,KSFO,60.1,72.0,29.87,10.0,WNW,8.1,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,414,4,08
A-4026,MapQuest,2,0.0,Accident on Lake St Northbound at CA-1 Park Presidio Blvd.,R,San Francisco,KSFO,68.0,56.0,29.87,10.0,WNW,24.2,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,90,4,15
A-4033,MapQuest,3,0.0,Accident on I-280 Northbound at Exits 54 54A 54B US-101.,R,San Francisco,KSFO,66.0,59.0,29.86,10.0,WNW,24.2,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,90,4,16
A-4129,MapQuest,3,0.0,Left hand shoulder blocked due to accident on I-80 Westbound at Exits 2 2A Harrison St.,R,San Francisco,KOAK,68.0,65.0,29.94,10.0,NW,16.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-4225,MapQuest,3,0.0,Right lane blocked due to accident on I-80 Westbound at I-80 Exits 2B 2C / Fremont St.,R,San Francisco,KOAK,66.0,73.0,29.93,10.0,WNW,5.8,Scattered Clouds,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,08
A-4267,MapQuest,2,0.0,Accident on Church St at 15th St.,R,San Francisco,KSFO,72.0,61.0,29.91,10.0,NNE,5.8,Mostly Cloudy,False,True,False,False,False,True,False,False,False,True,False,Day,Day,Day,Day,45,4,11
A-4273,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-280 Northbound at Exits 49 49B CA-1 Junipero Serra Blvd.,R,San Francisco,KSFO,77.0,45.0,29.89,10.0,NW,10.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,12
A-4360,MapQuest,3,0.0,Accident on I-80 Westbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,64.9,70.0,29.86,10.0,NW,3.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,30,4,21
A-4444,MapQuest,2,0.0,Accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,R,San Francisco,KSFO,70.0,51.0,29.9,10.0,WNW,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,13
A-4445,MapQuest,2,0.0,Accident on US-101 Southbound near Exit 432 Cesar Chavez.,R,San Francisco,KSFO,70.0,51.0,29.9,10.0,WNW,18.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,13
A-4490,MapQuest,3,0.0,Accident on I-280 Northbound at Exit 57 King St.,R,San Francisco,KOAK,60.1,83.0,29.89,10.0,WNW,12.7,Scattered Clouds,False,False,False,False,False,True,False,False,False,False,False,Night,Day,Day,Day,30,4,20
A-4506,MapQuest,3,0.0,#1 and #2 lane blocked due to accident on I-280 Southbound at Exit 53 Alemany Blvd.,R,San Francisco,KSFO,54.0,90.0,29.92,10.0,WNW,15.0,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,30,4,01
A-4543,MapQuest,2,0.0,Accident on Market St at Valencia St.,R,San Francisco,KSFO,66.9,59.0,29.92,10.0,WNW,13.8,Partly Cloudy,False,True,False,False,False,True,True,False,False,True,False,Day,Day,Day,Day,45,4,11
A-4555,MapQuest,2,0.0,Accident on 3rd St at Cesar Chavez.,R,San Francisco,KSFO,68.0,59.0,29.91,10.0,WNW,13.8,Partly Cloudy,False,True,False,False,False,True,False,False,False,True,False,Day,Day,Day,Day,45,4,13
A-4566,MapQuest,2,0.0,Accident on CA-1 Park Presidio Blvd Southbound at Lake St.,R,San Francisco,KSFO,66.9,59.0,29.88,10.0,WNW,19.6,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,45,4,14
A-4710,MapQuest,2,0.0,Delays due to accident on I-80 Eastbound at 4th St.,R,San Francisco,KOAK,71.1,57.0,29.84,10.0,WNW,13.8,Clear,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,45,4,13
A-4798,MapQuest,2,0.0,Accident on US-101 Southbound at Exits 430A 430B 431 I-280.,R,San Francisco,KSFO,54.0,93.0,29.8,10.0,WNW,9.2,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,30,4,05
A-4884,MapQuest,2,0.0,Accident on US-101 Northbound at Exit 432 Cesar Chavez.,R,San Francisco,KSFO,57.0,87.0,29.85,10.0,WNW,12.7,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,46,4,22
A-4933,MapQuest,2,0.0,Accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,R,San Francisco,KSFO,75.9,48.0,29.88,10.0,SW,12.7,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,90,4,15
A-4943,MapQuest,2,0.0,Accident on US-101 Southbound at Exits 430A 430B 431 I-280. Expect delays.,R,San Francisco,KSFO,62.1,78.0,29.88,10.0,West,16.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,4,20
A-5052,MapQuest,3,0.01,Accident on I-80 Eastbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,51.1,80.0,30.09,10.0,NNE,6.9,Mostly Cloudy,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Day,Day,29,8,17
